"hotelName;stars;price;cityName;countryCode;countryName;address;location;url;latitude;longitude"
"The Savaiian Hotel;3;99999;Salelologa;WS;Samoa;P.O.Box 7009;Salelologa Samoa;;-13.7019;-172.202"
"Vacations Beach Fales;2.5;99999;Savaii;WS;Samoa;Manase;Savaii Samoa;http://www.vacationsbeachfales.com/;-13.4484;-172.374"
"Aggie Greys Hotel;3;201;Apia;WS;Samoa;PO Box 67;Apia Samoa;http://aggiegreys.com/;-13.8264;-171.752"
"Aggie Greys Lagoon Beach Resort & Spa;4;247;Apia;WS;Samoa;Mulifanua Ferry Terminal Pier PO Box 3267;Apia Samoa;http://aggiegreys.com/resort/;-13.8333;-171.733"
"Amanaki Hotel;3;107;Apia;WS;Samoa;Beach Road Sogi;Apia Samoa;http://amanakihotel.com/;-13.8256;-171.774"
"Insel Fehmarn Hotel;3;112;Apia;WS;Samoa;Cross Island Road;Apia Samoa;;-13.8476;-171.759"
"Le Manumea Hotel;4;137;Apia;WS;Samoa;Vailima;Apia Samoa;http://www.manumearesort.com/;-13.8614;-171.762"
"LeUaina Seaside Resort;2;137;Upolu;WS;Samoa;Faleapuna;Upolu Samoa;;-13.8777;-171.587"
"Orator Hotel;3;130;Apia;WS;Samoa;Tanumapua Village Alafaalava Road;Apia Samoa;;-13.8527;-171.82"
"Princess Tui Inn Apia;2;99999;Apia;WS;Samoa;1 Vaiala Beach Road PO Box 9590;Apia Samoa;http://www.princesstui.ws/;-13.828;-171.756"
"Sa Moana Resort;3;99999;Apia;WS;Samoa;Salamumu Beach PO Box 3450;Apia Samoa;http://www.samoanaresort.com/;-13.8314;-171.752"
"Samoa Marina Hotel;2;99999;Apia;WS;Samoa;Beach Road Matautu-tai;Apia Samoa;http://www.samoa-hotels.ws/Samoa_Marina_Hotel/accm_roomrate;-13.8289;-171.759"
"Samoan Outrigger Hotel;1;31;Apia;WS;Samoa;Cross Island Road;Apia Samoa;http://samoanoutriggerhotel.com/;-13.8446;-171.76"
"Tanoa Tusitala Hotel;4;157;Apia;WS;Samoa;Beach Road Sogi;Apia Samoa;http://www.tanoahotels.com/default.aspx;-13.828;-171.774"
"The Mangrove Garden Restaurant & Accommodation;2;45;Apia;WS;Samoa;Saanapu-Tai Road;Apia Samoa;http://www.mangrovegardensamoa.com/index.html;-13.9903;-171.877"
"Virgin Cove Resort;2;99999;Upolu;WS;Samoa;Saanapu-TaiSaanapu Village;Upolu Samoa;http://www.virgin-cove.ws/;-13.9657;-171.878"
"Aires Del Beagle Apart Hotel;3;122;Ushuaia;AR;Argentina;17de Mayo nro 616;Ushuaia Argentina;http://www.airesdelbeagle.com/;-54.801;-68.3028"
"Albatros Hotel Ushuaia;4;169;Ushuaia;AR;Argentina;Avenida Maipu 505;Ushuaia Argentina;http://www.albatroshotel.com.ar/;-54.8073;-68.3046"
"Alto Andino Hotel;3;110;Ushuaia;AR;Argentina;Gobernador Paz 868;Ushuaia Argentina;http://www.altoandinohotel.com;-54.806;-68.3109"
"Altos Ushuaia;2;122;Ushuaia;AR;Argentina;Luis Fernando Martial 1441;Ushuaia Argentina;http://www.altosushuaia.com/;-54.8041;-68.3585"
"Apart Hotel Los Pinos;2;99999;Ushuaia;AR;Argentina;Av. Magallanes 1519;Ushuaia Argentina;http://www.lospinosushuaia.com.ar/index-uk.htm;-54.8057;-68.3222"
"Arwen Mesheken Apart Hotel;1;101;Ushuaia;AR;Argentina;Salta 2451;Ushuaia Argentina;http://www.arwen-mesheken.com.ar/;-54.8091;-68.3372"
"Bahia Serena Apart Hotel;3;117;Ushuaia;AR;Argentina;Juana Genoveva Fadul 254;Ushuaia Argentina;http://www.bahiaserena.com.ar/;-54.8059;-68.3088"
"Beagle Channel Hotel;2;99999;Ushuaia;AR;Argentina;Maipu 547;Ushuaia Argentina;;-54.8073;-68.3054"
"Cabanas Bahia Cauquen;3;99999;Ushuaia;AR;Argentina;Reinamora s/n;Ushuaia Argentina;;-54.7917;-68.2293"
"Cabanas Del Hain;2;88;Ushuaia;AR;Argentina;De Los Vientos 2526;Ushuaia Argentina;http://www.cabaniasdelhain.com/home.htm;-54.8325;-68.3564"
"Cabanas Del Martial;3;172;Ushuaia;AR;Argentina;Luis Martial 2135;Ushuaia Argentina;http://www.cumbresdelmartial.com.ar/esp/hotel/cabanas_lujo.html;-54.805;-68.3559"
"Cabañas Hannus Ushuaia;3;99999;Ushuaia;AR;Argentina;Leandro N. Alem 2950;Ushuaia Argentina;;-54.8113;-68.3448"
"Cabanas Portal del Glaciar;1;107;Ushuaia;AR;Argentina;Aldo Motter 2511;Ushuaia Argentina;http://www.portaldelglaciar.com.ar/;-54.808;-68.3396"
"Candelas De Ushuaia;3;101;Ushuaia;AR;Argentina;Del Tolkeyen 783;Ushuaia Argentina;;-54.8301;-68.3471"
"Cilene del Faro Suites & Spa;4;136;Ushuaia;AR;Argentina;Yaganes 74;Ushuaia Argentina;http://cilenedelfaro.com/;-54.8053;-68.2981"
"Costa Ushuaia;3;78;Ushuaia;AR;Argentina;Costa De Los Pajaros 1821;Ushuaia Argentina;;-54.7917;-68.2292"
"Cumbres Del Martial Villa Ushuaia;4;243;Ushuaia;AR;Argentina;Luis F. Martial Km. 5;Ushuaia Argentina;http://www.cumbresdelmartial.com.ar/;-54.7992;-68.3698"
"Del Glaciar Hotel;4;155;Ushuaia;AR;Argentina;Av. Luis Fernando Martial 2355;Ushuaia Argentina;http://www.hoteldelglaciar.com/;-54.8043;-68.3568"
"Departamentos Ahnen;1;55;Ushuaia;AR;Argentina;Padre Jose Maria Beauvoir 1870;Ushuaia Argentina;http://www.ahnen.com.ar/;-54.8094;-68.3284"
"Departamentos Ahnen I;1;93;Ushuaia;AR;Argentina;Don Bosco 267;Ushuaia Argentina;http://www.ahnen.com.ar/;-54.8068;-68.3128"
"El Viejo Lobo de Mar;3;136;Ushuaia;AR;Argentina;Gobernador Godoy 98;Ushuaia Argentina;http://www.hoteles.com/ho338683/el-viejo-lobo-de-mar-ushuaia-argentina/;-54.8059;-68.3026"
"Familia Piatti;1;61;Ushuaia;AR;Argentina;Bahia Paraiso 812;Ushuaia Argentina;;-54.797;-68.2977"
"Finisterris Lodge Relax And Spa Ushuaia;5;460;Ushuaia;AR;Argentina;Monte Susana Ladera Estes;Ushuaia Argentina;http://www.finisterrislodge.com/;-54.8327;-68.3998"
"Fueguino Hotel Patagonico;4;149;Ushuaia;AR;Argentina;Gobernador Deloqui 1282/Aime Painé 1665 6 Of 6;Ushuaia Argentina;http://www.fueguinohotel.com/;-54.8083;-68.3161"
"Hostal Bahia El Torito;1;99999;Ushuaia;AR;Argentina;Margen Sur Lago Fagnano Bahía Torito (Acceso Nautico) Por Ruta 119;Ushuaia Argentina;http://www.eltoritotdf.com/;-54.5933;-68.2654"
"Hostal De La Laguna;1.5;40;Ushuaia;AR;Argentina;Las Lajas 1247;Ushuaia Argentina;http://www.hostaldelalaguna.com.ar/;-54.8128;-68.3443"
"Hostal Del Bosque Apart Hotel;3;88;Ushuaia;AR;Argentina;Avenida Magallanes 709;Ushuaia Argentina;http://cabanasmardelaspampas.com/;-54.8041;-68.3103"
